experimento,parametro,Nt,condicao_maxima,erro_maximo,erro_L1_total,residuo_maximo
sistema_2x2,1,3,,4.2832,,6.5415
sistema_2x2,2,5,,1.3323e-15,,2.6645e-15
sistema_2x2,4,9,,1.7764e-15,,4.4409e-15
sistema_2x2,8,17,,1.5543e-15,,3.5527e-15
sistema_2x2,16,33,,1.1102e-15,,5.7732e-15
sistema_2x2,32,65,,6.6613e-16,,5.3291e-15
sistema_2x2,64,129,,1.1102e-15,,4.4409e-15
calor_2d,8,17,182.42,2.7111399692508953,387.472324766447,2.7000623958883807e-13
calor_2d,16,17,2676.6,0.02052703986651272,8.47570413769603,4.547473508864641e-13
calor_2d,32,17,41914.0,1.1681646795436151e-06,0.00209716537721383,1.3038459201197838e-12
calor_2d,60,17,505380.0,1.749989042565403e-14,1.0755183671842442e-10,7.44648787076585e-12
calor_2d,80,17,1600000.0,2.531308496145357e-14,4.175323757756603e-10,2.948752353404416e-11
